question,reference_answer,user_answer,lang,score
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,I don't know.,en,1
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,You can use a net.,en,2
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net.,en,3
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by using a bed net and removing water.,en,4
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
What are the main ways to prevent malaria?,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,Malaria is prevented by sleeping under a mosquito bed net and removing standing water.,en,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Simbyumva.,ki,1
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Ukoresha umusego.,ki,2
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego.,ki,3
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
